Pool_Numb,PlateRun,PlateRunDate,Sample_Date,Bag,Site,Location,Species,Year_Sampled,Cohort,Pool_Rep,Weight_mg,SampleSize,Copies_per_2ul,Copies_per_ul,CopiesX200,Copies_per_mgTissue,log_transform,OsHV1,Pos_Neg,Notes
1,1,8/22/2022,5-Aug-20,B1,North,HIOC,M. gigas,2020,2020,1,19.4,5,0.878456666,0.439228333,87.84566663,4.528127146,0.655918613,0,Neg,Rerun?
1,1,8/22/2022,5-Aug-20,B1,North,HIOC,M. gigas,2020,2020,1,19.4,5,0.645706629,0.322853315,64.57066293,3.328384687,0.522233515,0,Neg,Rerun?
2,1,8/22/2022,5-Aug-20,B1,North,HIOC,M. gigas,2020,2020,2,18.3,5,1.199065082,0.599532541,119.9065082,6.552268208,0.816391666,0,Neg,Rerun?
3,1,8/22/2022,5-Aug-20,B1,North,HIOC,M. gigas,2020,2020,3,12.7,5,1.862648106,0.931324053,186.2648106,14.66652052,1.166327094,0,Neg,Rerun?
4,1,8/22/2022,5-Aug-20,B1,North,HIOC,M. gigas,2020,2020,4,23.2,5,4.788511302,2.394255651,478.8511302,20.64013492,1.314712532,1,Pos,Rerun?
5,1,8/22/2022,5-Aug-20,B2,North,HIOC,M. gigas,2020,2020,1,20.1,5,1.523194986,0.761597493,152.3194986,7.578084506,0.879559444,0,Neg,Rerun?
6,1,8/22/2022,5-Aug-20,B2,North,HIOC,M. gigas,2020,2020,2,13.6,5,0.307817081,0.153908541,30.78170812,2.263360891,0.354753807,0,Neg,Rerun?
7,1,8/22/2022,5-Aug-20,B2,North,HIOC,M. gigas,2020,2020,3,15.2,5,3.027696459,1.51384823,302.7696459,19.91905565,1.299268745,1,Pos,Rerun?
8,1,8/22/2022,5-Aug-20,B2,North,HIOC,M. gigas,2020,2020,4,20.3,5,90.75613377,45.37806688,9075.613377,447.0745506,2.650379949,1,Pos,Rerun?
9,1,8/22/2022,5-Aug-20,B3,North,HIOC,M. gigas,2020,2020,1,10.2,5,2974572.083,1487286.041,297457208.3,29162471.4,7.464824326,1,Pos,Rerun?
10,1,8/22/2022,5-Aug-20,B3,North,HIOC,M. gigas,2020,2020,2,12.4,5,28.45566277,14.22783139,2845.566277,229.4811514,2.36074702,1,Pos,Rerun?
11,1,8/22/2022,5-Aug-20,B3,North,HIOC,M. gigas,2020,2020,3,14.5,5,434662.7066,217331.3533,43466270.66,2997673.839,6.476784378,1,Pos,Rerun?
12,1,8/22/2022,5-Aug-20,B3,North,HIOC,M. gigas,2020,2020,4,17.5,5,6.992161289,3.496080644,699.2161289,39.95520736,1.601573389,1,Pos,Rerun?
13,1,8/22/2022,5-Aug-20,B4,North,HIOC,M. gigas,2020,2020,1,20.5,5,15.74191252,7.870956262,1574.191252,76.78981719,1.885303634,1,Pos,Rerun?
14,1,8/22/2022,5-Aug-20,B4,North,HIOC,M. gigas,2020,2020,2,19.6,5,0.829966976,0.414983488,82.99669764,4.23452539,0.626804741,0,Neg,Rerun?
15,1,8/22/2022,5-Aug-20,B4,North,HIOC,M. gigas,2020,2020,3,21.4,6,1.622657934,0.811328967,162.2657934,7.58251371,0.879813204,0,Neg,Rerun?
16,1,8/22/2022,5-Aug-20,B4,North,HIOC,M. gigas,2020,2020,4,19.2,4,0,0,0,0,0,0,Neg,Rerun?
17,2,8/24/2022,20-Aug-20,B5,South,TBOC,M. gigas,2020,2020,1,23.2,5,0,0,0,0,0,0,Neg,Rerun?
18,2,8/24/2022,20-Aug-20,B5,South,TBOC,M. gigas,2020,2020,2,18.2,5,0.029350771,0.014675386,2.935077109,0.161267973,-0.792451873,0,Neg,Rerun?
19,2,8/24/2022,20-Aug-20,B5,South,TBOC,M. gigas,2020,2020,3,20.2,5,0,0,0,0,0,0,Neg,Rerun?
20,2,8/24/2022,20-Aug-20,B5,South,TBOC,M. gigas,2020,2020,4,17,5,0.051171256,0.025585628,5.117125621,0.301007389,-0.521422843,0,Neg,Rerun?
21,2,8/24/2022,20-Aug-20,B6,South,TBOC,M. gigas,2020,2020,1,22.7,5,0,0,0,0,0,0,Neg,Rerun?
22,2,8/24/2022,20-Aug-20,B6,South,TBOC,M. gigas,2020,2020,2,16.9,5,0,0,0,0,0,0,Neg,Rerun?
23,2,8/24/2022,20-Aug-20,B6,South,TBOC,M. gigas,2020,2020,3,20.7,5,0.051407851,0.025703925,5.140785071,0.248347105,-0.604940898,0,Neg,Rerun?
24,2,8/24/2022,20-Aug-20,B6,South,TBOC,M. gigas,2020,2020,4,14.6,5,0.048680925,0.024340462,4.868092495,0.333430993,-0.476994034,0,Neg,Rerun?
25,2,8/24/2022,20-Aug-20,B7,South,TBOC,M. gigas,2020,2020,1,13.9,5,0.058005703,0.029002851,5.800570265,0.417307213,-0.379544108,0,Neg,Rerun?
26,2,8/24/2022,20-Aug-20,B7,South,TBOC,M. gigas,2020,2020,2,12.3,5,0.031259095,0.015629548,3.125909528,0.254138986,-0.594928707,0,Neg,Rerun?
27,2,8/24/2022,20-Aug-20,B7,South,TBOC,M. gigas,2020,2020,3,11.7,5,0,0,0,0,0,0,Neg,Rerun?
28,2,8/24/2022,20-Aug-20,B7,South,TBOC,M. gigas,2020,2020,4,20.8,5,0,0,0,0,0,0,Neg,Rerun?
29,2,8/24/2022,20-Aug-20,B8,South,TBOC,M. gigas,2020,2020,1,14.9,5,0.325744772,0.162872386,32.57447722,2.186206525,0.437241305,0,Neg,Rerun?
30,2,8/24/2022,20-Aug-20,B8,South,TBOC,M. gigas,2020,2020,2,21.5,5,0.042343316,0.021171658,4.23433155,0.196945654,0.039389131,0,Neg,Rerun?
31,2,8/24/2022,20-Aug-20,B8,South,TBOC,M. gigas,2020,2020,3,14.2,5,0.042343316,0.021171658,4.23433155,0.298192363,-0.525503484,0,Neg,Rerun?
32,2,8/24/2022,20-Aug-20,B8,South,TBOC,M. gigas,2020,2020,4,13.1,5,0.050355085,0.025177543,5.035508538,0.384389965,0.076877993,0,Neg,Rerun?
33,3a,9/28/2022,1-Dec-21,B1,North,HIOC,M. gigas,2021,2020,1,20.7,3,1.00950024,0.50475012,100.950024,4.876812752,0.688136081,0,Neg,
34,3a,9/28/2022,1-Dec-21,B1,North,HIOC,M. gigas,2021,2020,2,17.7,3,0.44757908,0.22378954,44.75790797,2.528695366,0.842898455,0,Neg,
35,3a,9/28/2022,1-Dec-21,B1,North,HIOC,M. gigas,2021,2020,3,16.1,3,0.115012601,0.0575063,11.5012601,0.714363981,0.238121327,0,Neg,
36,3a,9/28/2022,1-Dec-21,B2,North,HIOC,M. gigas,2021,2020,1,24.1,3,80.75630147,40.37815074,8075.630147,335.0883879,2.525159378,1,Pos,
37,3a,9/28/2022,1-Dec-21,B2,North,HIOC,M. gigas,2021,2020,2,16.4,3,5.341306526,2.670653263,534.1306526,32.56894223,1.512803654,1,Pos,
